Ambient Temperature (°C),Sensor Temperature (°C),Error,Controller Output (V(t)),TEC State (ON or OFF)
20.9,16.57,0.57,5, ON
20.9,16.61,0.61,5, ON
20.9,16.5,0.5,5, ON
20.9,16.3,0.3,5, ON
20.9,16.01,0.01,5, ON
20.9,15.7,-0.3,0, OFF
20.9,15.16,-0.84,0, OFF
20.9,15.03,-0.97,0, OFF
20.9,15.02,-0.98,0, OFF
20.9,15.1,-0.9,0, OFF
20.9,15.25,-0.75,0, OFF
20.9,15.42,-0.58,0, OFF
20.9,15.62,-0.38,0, OFF
20.9,15.85,-0.15,0, OFF
20.9,16.08,0.08,5, ON
20.9,16.53,0.53,5, ON
20.9,16.57,0.57,5, ON
20.9,16.47,0.47,5, ON
20.9,16.26,0.26,5, ON
20.9,15.98,-0.02,0, OFF
20.9,15.47,-0.53,0, OFF
20.9,15.33,-0.67,0, OFF
20.9,15.33,-0.67,0, OFF
20.9,15.41,-0.59,0, OFF
20.9,15.54,-0.46,0, OFF
20.9,15.71,-0.29,0, OFF
20.9,15.9,-0.1,0, OFF
20.9,16.12,0.12,5, ON
20.9,16.55,0.55,5, ON
20.9,16.58,0.58,5, ON
20.9,16.45,0.45,5, ON
20.9,16.23,0.23,5, ON
20.9,15.96,-0.04,0, OFF
20.9,15.44,-0.56,0, OFF
20.9,15.3,-0.7,0, OFF
20.9,15.29,-0.71,0, OFF
20.9,15.37,-0.63,0, OFF
20.9,15.51,-0.49,0, OFF
20.9,15.66,-0.34,0, OFF
