#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
26.00 , 15.99 , -0.01 , 5, ON
26.00 , 15.94 , -0.06 , 5, ON
26.00 , 15.89 , -0.11 , 0, OFF
26.00 , 16.63 , 0.63 , 0, OFF
26.00 , 16.67 , 0.67 , 0, OFF
26.00 , 16.71 , 0.71 , 0, OFF
26.00 , 16.81 , 0.81 , 0, OFF
26.00 , 16.94 , 0.94 , 5, ON
26.00 , 16.37 , 0.37 , 5, ON
26.00 , 16.54 , 0.54 , 5, ON
26.00 , 16.62 , 0.62 , 5, ON
26.00 , 16.71 , 0.71 , 5, ON
26.00 , 16.76 , 0.76 , 5, ON
26.00 , 16.81 , 0.81 , 5, ON
26.00 , 16.79 , 0.79 , 5, ON
26.00 , 16.77 , 0.77 , 5, ON
26.00 , 16.76 , 0.76 , 5, ON
26.00 , 16.81 , 0.81 , 5, ON
26.00 , 16.79 , 0.79 , 5, ON
26.00 , 16.76 , 0.76 , 5, ON
26.00 , 16.74 , 0.74 , 5, ON
26.00 , 16.72 , 0.72 , 5, ON
26.00 , 16.70 , 0.70 , 5, ON
26.00 , 16.65 , 0.65 , 5, ON
26.00 , 16.60 , 0.60 , 5, ON
26.00 , 16.55 , 0.55 , 5, ON
26.00 , 16.45 , 0.45 , 5, ON
26.00 , 16.42 , 0.42 , 5, ON
26.00 , 16.41 , 0.41 , 5, ON
26.00 , 16.35 , 0.35 , 5, ON
26.00 , 16.27 , 0.27 , 5, ON
26.00 , 16.27 , 0.27 , 5, ON
26.00 , 16.28 , 0.28 , 5, ON
26.00 , 16.21 , 0.21 , 5, ON
26.00 , 16.21 , 0.21 , 5, ON
26.00 , 16.19 , 0.19 , 5, ON
26.00 , 16.15 , 0.15 , 5, ON
26.00 , 16.10 , 0.10 , 5, ON
26.00 , 16.09 , 0.09 , 5, ON
26.00 , 16.05 , 0.05 , 5, ON
26.00 , 16.03 , 0.03 , 5, ON
26.00 , 16.00 , 0.00 , 5, ON
26.00 , 15.97 , -0.03 , 5, ON
26.00 , 15.96 , -0.04 , 5, ON
26.00 , 15.96 , -0.04 , 5, ON
26.00 , 15.93 , -0.07 , 5, ON
26.00 , 15.95 , -0.05 , 5, ON
26.00 , 15.94 , -0.06 , 5, ON
26.00 , 15.91 , -0.09 , 5, ON
26.00 , 15.91 , -0.09 , 5, ON
26.00 , 15.90 , -0.10 , 5, ON
26.00 , 15.87 , -0.13 , 0, OFF
26.00 , 16.61 , 0.61 , 0, OFF
26.00 , 16.66 , 0.66 , 0, OFF
26.00 , 16.75 , 0.75 , 0, OFF
26.00 , 16.90 , 0.90 , 5, ON
26.00 , 16.30 , 0.30 , 5, ON
26.00 , 16.44 , 0.44 , 5, ON
26.00 , 16.56 , 0.56 , 5, ON
26.00 , 16.64 , 0.64 , 5, ON
26.00 , 16.71 , 0.71 , 5, ON
26.00 , 16.82 , 0.82 , 5, ON
26.00 , 16.87 , 0.87 , 5, ON
